study_word,thisN,thisTrialN,thisRepN,slider.response,slider.rt,test_word,Reference,old_new,textbox.text,testmouse.x,testmouse.y,testmouse.leftButton,testmouse.midButton,testmouse.rightButton,testmouse.time,testmouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,text.started,slider.started,trial.stopped,trials.slider.response,trials.slider.rt,test.started,text_2.started,textbox.started,text_3.started,testmouse.started,test.stopped,trials_2.textbox.text,trials_2.testmouse.x,trials_2.testmouse.y,trials_2.testmouse.leftButton,trials_2.testmouse.midButton,trials_2.testmouse.rightButton,trials_2.testmouse.time,trials_2.testmouse.clicked_name,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
mouse,175,10,11,2.005,0.09979559993371367,,,,,,,,,,,,11,10,175,8,,,,,23.755556100048125,,23.72847329999786,23.755556100048125,23.755556100048125,23.843268700060435,2.005,0.09979559993371367,,,,,,,,,,,,,,,Participant 02,001,2025-10-16_18h28.54.608,Word Priming Experiment,,2025.1.1,118.33213218187181,2025-10-16 18h29.14.005139 +0530,
Cruise,176,11,11,2.005,0.11314220004715025,,,,,,,,,,,,11,11,176,11,,,,,23.872991800075397,,23.84703000006266,23.872991800075397,23.872991800075397,23.97434230009094,2.005,0.11314220004715025,,,,,,,,,,,,,,,Participant 02,001,2025-10-16_18h28.54.608,Word Priming Experiment,,2025.1.1,118.33213218187181,2025-10-16 18h29.14.005139 +0530,
book,177,12,11,2.005,0.10329740005545318,,,,,,,,,,,,11,12,177,0,,,,,23.98950780008454,,23.976766800042242,23.98950780008454,23.98950780008454,24.108269500080496,2.005,0.10329740005545318,,,,,,,,,,,,,,,Participant 02,001,2025-10-16_18h28.54.608,Word Priming Experiment,,2025.1.1,118.33213218187181,2025-10-16 18h29.14.005139 +0530,
Laptop,178,13,11,2.005,0.09791869996115565,,,,,,,,,,,,11,13,178,5,,,,,24.12320840009488,,24.11232330009807,24.12320840009488,24.12320840009488,24.224614300066605,2.005,0.09791869996115565,,,,,,,,,,,,,,,Participant 02,001,2025-10-16_18h28.54.608,Word Priming Experiment,,2025.1.1,118.33213218187181,2025-10-16 18h29.14.005139 +0530,
T-shirt,179,14,11,2.005,0.10040700004901737,,,,,,,,,,,,11,14,179,7,,,,,24.239843900082633,,24.22876470000483,24.239843900082633,24.239843900082633,24.35843250004109,2.005,0.10040700004901737,,,,,,,,,,,,,,,Participant 02,001,2025-10-16_18h28.54.608,Word Priming Experiment,,2025.1.1,118.33213218187181,2025-10-16 18h29.14.005139 +0530,
board,180,0,12,2.005,0.21838710003066808,,,,,,,,,,,,12,0,180,4,,,,,24.388884300016798,,24.362490400089882,24.388884300016798,24.388884300016798,24.607724500005133,2.005,0.21838710003066808,,,,,,,,,,,,,,,Participant 02,001,2025-10-16_18h28.54.608,Word Priming Experiment,,2025.1.1,118.33213218187181,2025-10-16 18h29.14.005139 +0530,
cushion,181,1,12,2.005,0.21671229996718466,,,,,,,,,,,,12,1,181,1,,,,,24.62411890004296,,24.61132380005438,24.62411890004296,24.62411890004296,24.840232699993066,2.005,0.21671229996718466,,,,,,,,,,,,,,,Participant 02,001,2025-10-16_18h28.54.608,Word Priming Experiment,,2025.1.1,118.33213218187181,2025-10-16 18h29.14.005139 +0530,
phone,182,2,12,2.005,0.11797209992073476,,,,,,,,,,,,12,2,182,2,,,,,24.85644380003214,,24.84277230000589,24.85644380003214,24.85644380003214,24.975309200002812,2.005,0.11797209992073476,,,,,,,,,,,,,,,Participant 02,001,2025-10-16_18h28.54.608,Word Priming Experiment,,2025.1.1,118.33213218187181,2025-10-16 18h29.14.005139 +0530,
mouse,183,3,12,2.005,0.11092210002243519,,,,,,,,,,,,12,3,183,8,,,,,24.989581000059843,,24.979650599998422,24.989581000059843,24.989581000059843,25.108541200053878,2.005,0.11092210002243519,,,,,,,,,,,,,,,Participant 02,001,2025-10-16_18h28.54.608,Word Priming Experiment,,2025.1.1,118.33213218187181,2025-10-16 18h29.14.005139 +0530,
T-shirt,184,4,12,2.005,0.1162217000965029,,,,,,,,,,,,12,4,184,7,,,,,25.12367860006634,,25.112396000069566,25.12367860006634,25.12367860006634,25.257185099995695,2.005,0.1162217000965029,,,,,,,,,,,,,,,Participant 02,001,2025-10-16_18h28.54.608,Word Priming Experiment,,2025.1.1,118.33213218187181,2025-10-16 18h29.14.005139 +0530,
