stair.thisTrialN,stair.stepSize,stair.intensity,thisRow.t,notes,trial.started,fixation.started,grating.started,key_resp.started,fixation.stopped,grating.stopped,trial.stopped,corrAns,tilt,key_resp.corr,stair.response,key_resp.rt,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
25,0.5,0.5,20.20848670002306,,20.19339990001754,20.20848670002306,20.708486500021536,20.708486500021536,20.708486500021536,21.008491500018863,21.009212800010573,left,-0.5,1,1,0.2936945999972522,001,001,2025-09-04_10h29.53.960,ADAPTIVESTAIRCASE,,2025.1.1,60.940680339146084,2025-09-04 10h30.02.290526 +0530,
26,0.5,0.5,21.025454000016907,,21.009511700016446,21.025454000016907,21.52486570001929,21.52486570001929,21.52486570001929,,21.59322130001965,left,-0.5,0,0,0.06368710001697764,001,001,2025-09-04_10h29.53.960,ADAPTIVESTAIRCASE,,2025.1.1,60.940680339146084,2025-09-04 10h30.02.290526 +0530,
27,0.5,1.0,21.609199700003956,,21.59353650000412,21.609199700003956,22.1084114999976,22.1084114999976,22.1084114999976,,22.16036300000269,left,-1.0,0,0,0.04907219999586232,001,001,2025-09-04_10h29.53.960,ADAPTIVESTAIRCASE,,2025.1.1,60.940680339146084,2025-09-04 10h30.02.290526 +0530,
28,0.5,1.0,22.175526700011687,,22.16066980001051,22.175526700011687,22.67542310000863,22.67542310000863,22.67542310000863,,22.70867420002469,left,-1.0,0,0,0.028339300013612956,001,001,2025-09-04_10h29.53.960,ADAPTIVESTAIRCASE,,2025.1.1,60.940680339146084,2025-09-04 10h30.02.290526 +0530,
29,0.5,1.0,22.724865500000305,,22.709015000000363,22.724865500000305,23.20894650000264,23.20894650000264,23.225514400022803,,23.359138300002087,left,-1.0,1,1,0.135924599977443,001,001,2025-09-04_10h29.53.960,ADAPTIVESTAIRCASE,,2025.1.1,60.940680339146084,2025-09-04 10h30.02.290526 +0530,
30,0.5,1.0,23.37580400001025,,23.35944890000974,23.37580400001025,23.858327100024326,23.858327100024326,23.875408599997172,,24.108646800013958,right,1.0,0,0,0.23842849998618476,001,001,2025-09-04_10h29.53.960,ADAPTIVESTAIRCASE,,2025.1.1,60.940680339146084,2025-09-04 10h30.02.290526 +0530,
31,0.5,1.0,24.125033700023778,,24.10896350000985,24.125033700023778,24.609405000024708,24.609405000024708,24.62509840002167,,24.62596270002541,right,1.0,0,0,0.0050623000133782625,001,001,2025-09-04_10h29.53.960,ADAPTIVESTAIRCASE,,2025.1.1,60.940680339146084,2025-09-04 10h30.02.290526 +0530,
32,0.5,1.0,24.6419859000016,,24.62627990002511,24.6419859000016,25.156445900007384,25.156445900007384,25.156445900007384,25.457927800016478,25.458801700006006,left,-1.0,0,0,0.286813600017922,001,001,2025-09-04_10h29.53.960,ADAPTIVESTAIRCASE,,2025.1.1,60.940680339146084,2025-09-04 10h30.02.290526 +0530,
33,0.5,1.0,25.47534890001407,,25.459103800007142,25.47534890001407,25.974347100011073,25.974347100011073,25.974347100011073,,26.143404800008284,left,-1.0,0,0,0.1653468000004068,001,001,2025-09-04_10h29.53.960,ADAPTIVESTAIRCASE,,2025.1.1,60.940680339146084,2025-09-04 10h30.02.290526 +0530,
34,0.5,1.0,26.155878000019584,,26.143732099997578,26.155878000019584,26.658955500024604,26.658955500024604,26.658955500024604,,26.77597090002382,right,1.0,0,0,0.10796470000059344,001,001,2025-09-04_10h29.53.960,ADAPTIVESTAIRCASE,,2025.1.1,60.940680339146084,2025-09-04 10h30.02.290526 +0530,
35,0.5,1.0,26.79200350001338,,26.77637269999832,26.79200350001338,27.29221929999767,27.29221929999767,27.29221929999767,27.592098000022816,28.04212520000874,left,-1.0,0,0,0.7407934000075329,001,001,2025-09-04_10h29.53.960,ADAPTIVESTAIRCASE,,2025.1.1,60.940680339146084,2025-09-04 10h30.02.290526 +0530,
36,0.5,1.0,28.05907560000196,,28.042427900014445,28.05907560000196,28.54201040000771,28.54201040000771,28.558033700013766,,28.57610370000475,right,1.0,1,1,0.03005579998716712,001,001,2025-09-04_10h29.53.960,ADAPTIVESTAIRCASE,,2025.1.1,60.940680339146084,2025-09-04 10h30.02.290526 +0530,
37,0.5,1.0,28.592238000012003,,28.576403300015954,28.592238000012003,29.075002500001574,29.075002500001574,29.091992300003767,,29.242880100006005,right,1.0,1,1,0.1635246000078041,001,001,2025-09-04_10h29.53.960,ADAPTIVESTAIRCASE,,2025.1.1,60.940680339146084,2025-09-04 10h30.02.290526 +0530,
38,0.5,1.0,29.25785230001202,,29.243193800008157,29.25785230001202,29.741347300005145,29.741347300005145,29.758502000011504,,29.925773299997672,left,-1.0,0,0,0.18086140000377782,001,001,2025-09-04_10h29.53.960,ADAPTIVESTAIRCASE,,2025.1.1,60.940680339146084,2025-09-04 10h30.02.290526 +0530,
39,0.5,1.0,29.941829800023697,,29.926087500003632,29.941829800023697,30.42513770001824,30.42513770001824,30.442592500010505,,30.626249300024938,left,-1.0,1,1,0.18387919999076985,001,001,2025-09-04_10h29.53.960,ADAPTIVESTAIRCASE,,2025.1.1,60.940680339146084,2025-09-04 10h30.02.290526 +0530,
40,0.5,1.0,30.64224660000764,,30.626674200000707,30.64224660000764,31.124831300025107,31.124831300025107,31.14204289999907,,31.28872229999979,right,1.0,1,1,0.160841699980665,001,001,2025-09-04_10h29.53.960,ADAPTIVESTAIRCASE,,2025.1.1,60.940680339146084,2025-09-04 10h30.02.290526 +0530,
41,0.5,1.0,31.30535880001844,,31.289026600017678,31.30535880001844,31.79612199999974,31.79612199999974,31.825966800010065,,31.82749620001414,right,1.0,0,0,0.0027828000020235777,001,001,2025-09-04_10h29.53.960,ADAPTIVESTAIRCASE,,2025.1.1,60.940680339146084,2025-09-04 10h30.02.290526 +0530,
42,0.5,1.0,31.843908100010594,,31.8279870999977,31.843908100010594,32.32771100001992,32.32771100001992,32.34499660000438,,32.44609500002116,left,-1.0,1,1,0.10856780002359301,001,001,2025-09-04_10h29.53.960,ADAPTIVESTAIRCASE,,2025.1.1,60.940680339146084,2025-09-04 10h30.02.290526 +0530,
43,0.5,1.0,32.46194930002093,,32.44657550001284,32.46194930002093,32.9616195000126,32.9616195000126,32.9616195000126,,33.113122900016606,left,-1.0,1,1,0.13672769998083822,001,001,2025-09-04_10h29.53.960,ADAPTIVESTAIRCASE,,2025.1.1,60.940680339146084,2025-09-04 10h30.02.290526 +0530,
44,0.5,1.0,33.127909000002546,,33.113612700020894,33.127909000002546,33.628027500002645,33.628027500002645,33.628027500002645,33.927300300012575,34.19448320000083,left,-1.0,0,0,0.5571132999903057,001,001,2025-09-04_10h29.53.960,ADAPTIVESTAIRCASE,,2025.1.1,60.940680339146084,2025-09-04 10h30.02.290526 +0530,
45,0.5,1.0,34.211273300024914,,34.19529810000677,34.211273300024914,34.69466020000982,34.69466020000982,34.71119020000333,,34.86292140002479,left,-1.0,1,1,0.1638690000108909,001,001,2025-09-04_10h29.53.960,ADAPTIVESTAIRCASE,,2025.1.1,60.940680339146084,2025-09-04 10h30.02.290526 +0530,
46,0.5,1.0,34.87803270001314,,34.86337810000987,34.87803270001314,35.35891260000062,35.35891260000062,35.391969800024526,35.66081270002178,35.64322360002552,right,1.0,1,1,0.2726291000144556,001,001,2025-09-04_10h29.53.960,ADAPTIVESTAIRCASE,,2025.1.1,60.940680339146084,2025-09-04 10h30.02.290526 +0530,
47,0.5,1.0,35.66081270002178,,35.643501900020055,35.66081270002178,36.156978100014385,36.156978100014385,36.17283600001247,36.45812880000449,36.62514430002193,left,-1.0,0,0,0.4621033000003081,001,001,2025-09-04_10h29.53.960,ADAPTIVESTAIRCASE,,2025.1.1,60.940680339146084,2025-09-04 10h30.02.290526 +0530,
48,0.5,1.0,36.64203810002073,,36.625450000021374,36.64203810002073,37.125497000000905,37.125497000000905,37.141744400025345,,37.392019300023094,right,1.0,1,1,0.25397270001121797,001,001,2025-09-04_10h29.53.960,ADAPTIVESTAIRCASE,,2025.1.1,60.940680339146084,2025-09-04 10h30.02.290526 +0530,
49,0.5,1.0,37.40815170001588,,37.39231440000003,37.40815170001588,37.891785300016636,37.891785300016636,37.90822000001208,38.1917206000071,38.30827860001591,right,1.0,0,0,0.4131572999758646,001,001,2025-09-04_10h29.53.960,ADAPTIVESTAIRCASE,,2025.1.1,60.940680339146084,2025-09-04 10h30.02.290526 +0530,
50,0.5,1.0,38.32487910002237,,38.30863159999717,38.32487910002237,38.80598430000828,38.80598430000828,38.839751200022874,,39.02224640001077,right,1.0,1,1,0.21300970000447705,001,001,2025-09-04_10h29.53.960,ADAPTIVESTAIRCASE,,2025.1.1,60.940680339146084,2025-09-04 10h30.02.290526 +0530,
